	Sample	Feature	ExpressionGene
0	BA2409	negative	6.82851443258156
1	BA2496	negative	8.28311530497155
2	BA3037	positive	8.03722226484621
3	BA2865	positive	7.78959302181462
4	BA2751	negative	8.18796359837961
5	BA2286	negative	8.48158973981744
6	BA2488	negative	7.92699657991781
7	BA3379	negative	8.50160207030541
8	BA2887	negative	8.79635277497105
9	BA2712	negative	8.63894476137773
10	BA2068	positive	8.32228693534529
11	BA2104	positive	7.5725144548201
12	BA3124	negative	7.54733361982974
13	BA2449	negative	9.26335235036244
14	BA2235	positive	7.79956921933088
15	BA3038	negative	7.93502206043898
16	BA3006	positive	8.15090969693391
17	BA2667	negative	8.40664550150058
18	BA2239	positive	7.47952389617521
19	BA2782	positive	7.29077391107671
20	BA2649	negative	8.78108213178214
21	BA2861	negative	8.59798330037588
22	BA2134	negative	7.41497012248878
23	BA2909	negative	7.35673455123978
24	BA2653	negative	8.88978486658959
25	BA2947	negative	8.22627943224245
26	BA2162	negative	7.46474071975909
27	BA2564	negative	8.24301678047805
28	BA2597	negative	7.85205086731265
29	BA3243	negative	7.96905854853838
30	BA2446	negative	8.52190108216259
31	BA2525	positive	6.8791208631907
32	BA2876	negative	7.46260985261637
33	BA2357	negative	8.73910632748104
34	BA2546	negative	8.06706072393759
35	BA2742	negative	7.80094268898657
36	BA2316	negative	8.04414638908848
37	BA2087	negative	8.4934060566155
38	BA2148	negative	7.08821062221174
39	BA3178	negative	8.03550248502968
40	BA2072	negative	8.53215993801742
41	BA2733	negative	8.22650342209935
42	BA2995	negative	8.41846114844672
43	BA2069	positive	8.65565049707964
44	BA2681	negative	8.51679913189176
45	BA2832	negative	8.3695120975799
46	BA2600	negative	8.16254296358662
47	BA3230	negative	8.51934782702254
48	BA2731	negative	7.72809482559201
49	BA2294	negative	8.69249597847146
50	BA2816	negative	8.27244095196937
51	BA2814	negative	8.7332018546727
52	BA2631	positive	8.03722226484621
53	BA2023	negative	7.84567146798846
54	BA2375	negative	7.84127876561754
55	BA2485	positive	8.52886682883828
56	BA2455	positive	7.18644077892568
57	BA2636	negative	8.25554427681065
58	BA2325	positive	7.05796014084047
59	BA2156	negative	8.78108213178214
60	BA2511	negative	7.46784096415085
61	BA2505	negative	8.14705635633251
62	BA2871	negative	7.80682500789732
63	BA2227	negative	8.0301567645062
64	BA2812	negative	8.25764420926654
65	BA2125	negative	8.3695120975799
66	BA2603	positive	7.97230357086309
67	BA2808	negative	8.20213208675208
68	BA2482	negative	8.43037965011906
69	BA2594	negative	8.40194775982719
70	BA2747	negative	8.55813210635661
71	BA2561	negative	8.07789379739417
72	BA2567	negative	6.56478809528508
