	Sample	Feature	ExpressionGene
177	BA2000	positive	7.95765939482996
178	BA2425	negative	4.80920574953976
179	BA2905	negative	3.14612847066654
180	BA2304	negative	7.6112304020112
181	BA2976	negative	6.03067265261494
182	BA2386	negative	4.25981249131916
183	BA2035	positive	5.46628439479905
184	BA2760	negative	5.35302745757832
185	BA2201	positive	7.15481965297646
186	BA2355	negative	2.57374882661096
187	BA2113	negative	6.24956354515351
188	BA2955	positive	6.58727608652663
189	BA2322	negative	5.6147813580075
190	BA2020	positive	5.92833030401015
191	BA2226	negative	6.57772759538865
192	BA2376	negative	6.97110220501606
193	BA2121	negative	5.63513768849615
194	BA2944	negative	4.64167507429005
195	BA2033	negative	5.27249782330272
196	BA2867	negative	3.686686945389
197	BA2089	negative	6.66232694076894
198	BA2224	negative	4.84073982458941
199	BA2046	negative	4.41752853740495
200	BA2972	negative	5.58233779466511
201	BA2978	negative	5.90476239808708
202	BA2851	negative	6.52531304614774
203	BA2587	negative	6.46680230521735
204	BA2024	positive	5.21467303087656
205	BA2426	negative	5.06916581711999
206	BA2271	negative	5.61291824722341
207	BA3004	positive	5.9059700222253
208	BA3010	negative	5.43991302011835
209	BA2662	positive	6.72757025712009
210	BA2658	negative	6.0515207109664
211	BA2512	negative	7.07626127790368
212	BA2109	negative	5.04550512990365
213	BA2242	negative	4.49812951936181
214	BA2132	positive	4.47573564141147
215	BA2846	negative	5.10282218386209
216	BA2521	positive	7.60876718089275
217	BA2885	negative	8.3695120975799
218	BA2639	negative	6.32360812377741
219	BA2775	negative	6.51657057172327
220	BA2402	negative	4.97105541814246
221	BA2097	positive	4.20135659440007
222	BA2399	positive	6.07775440645337
223	BA2174	negative	6.13208464272519
224	BA3001	negative	6.34691329698472
225	BA2911	positive	6.06121727575126
226	BA2311	negative	5.8717903577196
227	BA3040	negative	5.54245080282141
228	BA2724	negative	5.6643875190661
229	BA2821	negative	6.91793209354363
230	BA2233	negative	4.79452735368346
231	BA2744	positive	6.82008128976274
232	BA2501	positive	5.76686556527581
233	BA2301	negative	4.86287652588537
234	BA2880	negative	5.0883096858926
235	BA2621	negative	4.96162900206024
236	BA2866	negative	5.37084951659886
237	BA2212	negative	4.78927104224353
238	BA2477	negative	6.59734342436169
239	BA2685	negative	3.97791568550573
240	BA2273	negative	4.97353447958461
241	BA2124	negative	4.78927104224353
242	BA2400	negative	6.50804753914762
243	BA2762	positive	5.08403773679609
244	BA2312	negative	5.91835525147628
245	BA2813	positive	5.85936501205287
246	BA2211	positive	6.53298741802549
247	BA2171	positive	6.05611661620259
248	BA2746	positive	6.80845562026412
249	BA2798	negative	4.18830550628692
250	BA2588	negative	5.36902005012398
251	BA2296	negative	6.11380852099068
252	BA2300	negative	6.53199378857673
253	BA2545	negative	6.06036727608855
254	BA2840	negative	5.51015899119849
255	BA2528	negative	5.79603390583248
256	BA2646	negative	5.43474590254893
257	BA2926	negative	6.29737759041703
258	BA2272	positive	7.51732737025111
259	BA2306	negative	5.95520312741494
260	BA2726	negative	8.89122942781574
261	BA2234	negative	6.97176870633362
262	BA2022	positive	6.70701242644057
263	BA2037	negative	6.27917243235478
264	BA2184	negative	6.13418245991914
265	BA3009	negative	5.36619555084966
266	BA2442	positive	7.79521409988635
267	BA2882	negative	6.1556592421586
268	BA2570	negative	5.17593956338375
269	BA2721	positive	5.89765135115317
270	BA2728	negative	5.97772537420238
271	BA2098	negative	6.97450183109637
