	Sample	Feature	ExpressionGene
176	BA2093	negative	9.22287720595147
177	BA2000	positive	9.58408544068247
178	BA2425	negative	9.50768698561149
179	BA2905	negative	9.16784487350203
180	BA2304	negative	8.61695773628636
181	BA2976	negative	8.97485330936457
182	BA2386	negative	8.79328666582968
183	BA2035	positive	9.22287720595147
184	BA2760	negative	8.49657233882556
185	BA2201	positive	9.08494318011795
186	BA2355	negative	9.52517542791568
187	BA2113	negative	9.44407804044761
188	BA2955	positive	9.09600320401444
189	BA2322	negative	9.160132157513
190	BA2020	positive	9.83892848550566
191	BA2226	negative	8.93417001363455
192	BA2376	negative	8.61423212805534
193	BA2121	negative	8.92415796681604
194	BA2944	negative	9.2389471182711
195	BA2033	negative	9.53484314535953
196	BA2867	negative	9.30065851731011
197	BA2089	negative	8.18416035809344
198	BA2224	negative	9.12964008242639
199	BA2046	negative	9.1872873383188
200	BA2972	negative	9.44070228005406
201	BA2978	negative	8.40194775982719
202	BA2851	negative	9.2592593958878
203	BA2587	negative	9.02364943472175
204	BA2024	positive	9.17171491689544
205	BA2426	negative	9.0307417478067
206	BA2271	negative	9.12964008242639
207	BA3004	positive	9.80971908397822
208	BA3010	negative	8.87824586229709
209	BA2662	positive	9.06304565250042
210	BA2658	negative	9.30065851731011
211	BA2512	negative	8.54249270039127
212	BA2109	negative	8.65285322774346
213	BA2242	negative	9.45909303825332
214	BA2132	positive	9.8991027074875
215	BA2846	negative	9.30906602396076
216	BA2521	positive	9.09970659968869
217	BA2885	negative	8.57925061313916
218	BA2639	negative	9.4270458724936
219	BA2775	negative	9.44987135785787
220	BA2402	negative	8.84307877151568
221	BA2097	positive	9.28812805203208
222	BA2399	positive	9.63491369950168
223	BA2174	negative	9.04860912314158
224	BA3001	negative	9.67679810675791
225	BA2911	positive	8.99558616821901
226	BA2311	negative	8.78412431760784
227	BA3040	negative	9.43158515365849
228	BA2724	negative	8.88472441482659
229	BA2821	negative	9.34313727945847
230	BA2233	negative	9.65571538111022
231	BA2744	positive	9.14863087419242
232	BA2501	positive	9.40901547409309
233	BA2301	negative	9.0307417478067
234	BA2880	negative	9.160132157513
235	BA2621	negative	8.9076089453561
236	BA2866	negative	9.8991027074875
237	BA2212	negative	9.33027676031699
238	BA2477	negative	9.26335235036244
239	BA2685	negative	9.26745559419095
240	BA2273	negative	9.98114720830101
241	BA2124	negative	9.87632246618632
242	BA2400	negative	9.43613726309062
243	BA2762	positive	9.34313727945847
244	BA2312	negative	9.53484314535953
245	BA2813	positive	9.78106105276028
246	BA2211	positive	9.85831326849695
247	BA2171	positive	9.64008823387741
248	BA2746	positive	8.98518651350313
249	BA2798	negative	9.27569316532541
250	BA2588	negative	9.60929418124753
251	BA2296	negative	9.36916799017741
252	BA2300	negative	9.88687313292775
253	BA2545	negative	9.17171491689544
254	BA2840	negative	9.22062772367926
255	BA2528	negative	9.30485684547982
256	BA2646	negative	8.95099667095566
257	BA2926	negative	9.26745559419095
258	BA2272	positive	8.97485330936457
259	BA2306	negative	8.7420670822246
260	BA2726	negative	8.54249270039127
261	BA2234	negative	8.97142354261209
262	BA2022	positive	9.75851596885508
263	BA2037	negative	9.23089240757758
264	BA2184	negative	9.45447558148811
265	BA3009	negative	9.76974697360105
266	BA2442	positive	8.9076089453561
267	BA2882	negative	8.5607551950315
268	BA2570	negative	8.79022656584331
269	BA2721	positive	8.97829037472744
270	BA2728	negative	8.5373170330564
271	BA2098	negative	9.14863087419242
272	BA2951	negative	9.14863087419242
273	BA2778	negative	8.52190108216259
274	BA3153	negative	9.47302564786274
275	BA2820	positive	8.86216405394702
276	BA2704	positive	9.58408544068247
277	BA2584	negative	10.0475291689068
278	BA3079	negative	10.0007468429699
279	BA2361	negative	9.1755941413251
280	BA2472	negative	8.68106286594684
281	BA2047	positive	9.58909503454725
282	BA2101	negative	9.48238177689826
283	BA2082	negative	8.77804587995587
284	BA2456	negative	8.80250309714617
285	BA2175	negative	9.59412059033195
286	BA2507	negative	9.88079564639631
287	BA2563	positive	9.68211371581436
288	BA2984	negative	9.6874475749889
289	BA2414	positive	9.64008823387741
290	BA2697	negative	9.44696832329653
291	BA2644	negative	9.3735473533766
292	BA2011	negative	9.09600320401444
293	BA2217	negative	9.69279982690398
294	BA2454	negative	9.86270964606403
295	BA2776	positive	9.80971908397822
296	BA2135	negative	9.94271473100152
297	BA2914	negative	8.83362186336888
298	BA2500	negative	9.0307417478067
299	BA3108	negative	9.43613726309062
300	BA2303	positive	8.83676787171411
301	BA2160	negative	9.55927298456459
302	BA2590	positive	9.60929418124753
303	BA3195	negative	9.3561004357089
304	BA3036	positive	9.11086746340759
305	BA2971	negative	9.02543573403374
306	BA3410	negative	9.47302564786274
307	BA3118	negative	9.22287720595147
308	BA3206	negative	9.57411368730524
309	BA3217	positive	9.4045391740165
310	BA3405	negative	8.22445433533228
311	BA3306	positive	9.00255657247606
312	BA3413	negative	9.58909503454725
313	BA3411	negative	9.07395764638915
314	BA3133	negative	9.3561004357089
315	BA3451	negative	8.52958832512444
316	BA3286	positive	9.36916799017741
317	BA3212	negative	9.56098320131876
318	BA3103	negative	8.91751782379931
319	BA3271	positive	9.1872873383188
320	BA3152	negative	9.3735473533766
321	BA3095	positive	9.79245962144758
322	BA3251	positive	9.40901547409309
323	BA3362	negative	9.00434706477645
324	BA3135	positive	9.4000752436972
325	BA3408	negative	9.63491369950168
326	BA3098	negative	9.12964008242639
327	BA3435	positive	9.19120372633416
328	BA3261	negative	9.54457000922792
329	BA3203	negative	9.76974697360105
330	BA3299	negative	8.75098362594822
331	BA3347	negative	9.43158515365849
332	BA3126	negative	8.26607857536642
333	BA3418	negative	8.97829037472744
334	BA3245	negative	9.56915130536806
335	BA3085	negative	9.07761127342397
336	BA3171	negative	8.83048212173684
337	BA3277	negative	9.43158515365849
338	BA3157	negative	9.56420444046175
339	BA3433	negative	9.53969913371194
340	BA3374	negative	8.79328666582968
341	BA3450	negative	9.60422004710875
342	BA3167	negative	8.47663077360064
343	BA3269	negative	9.60929418124753
344	BA3110	negative	9.66259277874038
345	BA3156	negative	9.2592593958878
346	BA3226	positive	9.39118419839355
347	BA3421	positive	8.95777690896205
348	BA3232	positive	9.27569316532541
349	BA3289	positive	8.61423212805534
350	BA3430	negative	8.38747453651413
351	BA3384	negative	9.17948259034573
352	BA3427	negative	9.28812805203208
353	BA3449	negative	9.09230819306279
354	BA3163	negative	8.52958832512444
355	BA3158	negative	9.55927298456459
356	BA3436	negative	9.61438474364243
357	BA3154	negative	9.62258533258528
358	BA3162	negative	8.12230223339654
359	BA3352	positive	8.92264013919218
360	BA3084	negative	9.31751716888528
361	BA3149	negative	8.71853926395486
362	BA3169	negative	8.9076089453561
363	BA3180	positive	9.2109276242084
364	BA3255	positive	9.41350421836705
365	BA3438	negative	9.62975620855742
366	BA3345	negative	8.94087956106744
367	BA3431	negative	8.42559982560594
368	BA3181	negative	8.03722226484621
369	BA3341	negative	8.96458579397726
370	BA3191	negative	8.77804587995587
371	BA3197	positive	9.16398396797258
372	BA3448	negative	9.38234175781362
373	BA3453	negative	9.12586826213153
374	BA3406	positive	9.82133532639013
375	BA3334	negative	8.65565049707964
376	BA3447	negative	9.52036350053221
377	BA3116	negative	8.97485330936457
378	BA3280	positive	9.53969913371194
379	BA3185	negative	9.19906475607931
380	BA3094	negative	8.6697155276332
381	BA3318	negative	8.42559982560594
382	BA3216	positive	9.40901547409309
383	BA3332	negative	9.41800548205558
384	BA3373	negative	9.3217592552912
385	BA3319	negative	8.43037965011906
386	BA3328	positive	9.28812805203208
387	BA3240	negative	9.08127310626888
388	BA3142	negative	9.44070228005406
389	BA3333	negative	9.46372381175102
390	BA3381	negative	8.74800571415782
391	BA3290	negative	8.8879736022598
392	BA3207	negative	7.93502206043898
393	BA3305	negative	8.82110029202306
394	BA3434	negative	9.27569316532541
395	BA3189	positive	9.08862153045619
396	BA3264	positive	9.55435683089665
397	BA3329	negative	9.48406046211483
398	BA3225	negative	8.11666073243668
399	BA3397	negative	9.64527993925034
400	BA3311	negative	8.07971165578759
401	BA3422	negative	10.0888662099127
402	BA3213	negative	9.26335235036244
403	BA3415	negative	9.34744684153524
404	BA3270	negative	8.8717935877338
405	BA3324	negative	8.8525926437112
406	BA3335	positive	9.96822468421139
407	BA3199	negative	9.4917929010063
408	BA3326	negative	9.27569316532541
409	BA3297	negative	9.09230819306279
410	BA3227	positive	9.11460476788528
411	BA3412	negative	8.93752128537319
412	BA3250	negative	9.21888429779212
413	BA3177	negative	9.47769688223901
414	BA3315	negative	8.96117775713075
415	BA3182	negative	8.91751782379931
416	BA3369	negative	9.24704173883127
417	BA3078	negative	9.20475662343021
418	BA3386	positive	9.71984209806913
419	BA3176	negative	9.29229417829056
420	BA3258	negative	8.64449262965366
421	BA3295	negative	8.76897254396233
422	BA3136	negative	9.05220627117217
423	BA3234	negative	7.94635895319707
424	BA3087	negative	9.37964346609645
425	BA3454	positive	9.160132157513
426	BA3302	negative	9.39118419839355
427	BA3117	negative	9.44696832329653
428	BA3266	positive	9.21888429779212
429	BA3268	negative	9.28397254525379
430	BA3229	negative	8.70401585675217
431	BA3353	negative	9.78674968596522
432	BA3312	negative	9.20300948929151
433	BA3119	negative	9.3561004357089
434	BA3219	negative	8.44724078411408
435	BA3351	positive	9.54457000922792
436	BA3357	positive	9.36650856672567
437	BA3208	negative	9.65571538111022
438	BA3310	negative	9.1755941413251
439	BA3200	negative	9.1872873383188
440	BA3146	positive	9.15628939970288
441	BA3211	positive	9.11086746340759
442	BA3130	negative	7.51630069461518
443	BA3376	positive	9.3217592552912
444	BA3137	negative	9.06304565250042
445	BA3300	negative	9.24242183959432
446	BA3375	positive	9.39118419839355
447	BA3385	positive	8.95438322249582
448	BA3416	negative	9.22687989289351
449	BA3123	negative	8.68758550697862
