ID Sample	Abundance	TotalKmers	NormalizedExpression	FLT3-ITD
BA3103	89.93103448275862	9003873480.0	9.988038446177569	negative
BA3167	104.20689655172414	6552646380.0	15.903024596258486	negative
BA2022	19.93103448275862	8693195840.0	2.2927166084364456	positive
BA2024	10.241379310344827	10864332780.0	0.942660678546044	positive
BA2053	40.3448275862069	7030049320.0	5.738911030315061	negative
BA2125	24.20689655172414	7232958740.0	3.346748878554247	negative
BA2135	20.48275862068965	8731694580.0	2.345794213600363	negative
BA2198	21.41379310344828	6639298820.0	3.2253094316137862	negative
BA2286	175.10344827586206	8101217600.0	21.614460556628185	negative
BA2375	29.41379310344828	8484923160.0	3.466595106260017	negative
BA2377	26.06896551724138	14227717980.0	1.8322661128008515	positive
BA2414	68.51724137931035	10749157020.0	6.374196716247275	positive
BA2454	45.89655172413793	8712777500.0	5.267729116706806	negative
BA2474	22.344827586206897	7145734960.0	3.1270160048319084	negative
BA2488	30.724137931034484	6229102740.0	4.9323536973857145	negative
BA2541	27.93103448275862	5575294340.0	5.009786529541079	negative
BA2639	78.34482758620689	7746475240.0	10.113609759140841	negative
BA2646	37.241379310344826	9795603860.0	3.8018461998467163	negative
BA2728	45.62068965517241	8251344640.0	5.528879430634522	negative
BA2789	190.31034482758625	8577039800.0	22.188348109051127	negative
BA2804	10.241379310344827	5709512340.0	1.793739762780656	negative
BA2806	22.344827586206897	7345462600.0	3.0419905189098504	positive
BA2813	12.10344827586207	5990583900.0	2.0204121130599755	positive
BA2872	21.41379310344828	7110503820.0	3.0115718443490382	negative
BA2947	13.03448275862069	6708081240.0	1.943101505822057	negative
BA2948	55.86206896551724	8909130020.0	6.270204704624709	negative
BA2951	10.655172413793103	7223086360.0	1.4751550629104069	negative
BA2962	10.241379310344827	7477301020.0	1.3696625671417502	positive
BA3023	13.862068965517242	6346827200.0	2.1840942771401184	negative
BA3040	78.82758620689656	6065394020.0	12.99628448654298	negative
BA2590	36.310344827586206	9138029180.0	3.973542228017508	positive
BA3084	39.689655172413794	7536665780.0	5.2662087361944545	negative
BA3094	13.96551724137931	12405219960.0	1.1257774780624936	negative
BA3108	90.86206896551724	9072296660.0	10.015332651778303	negative
BA3123	84.17241379310344	8557945340.0	9.835586749973732	negative
BA3136	26.06896551724138	12574242520.0	2.073203652289775	negative
BA3158	27.27586206896552	7963118940.0	3.4252737243386595	negative
BA3189	52.13793103448276	11835305808.0	4.405288032290679	positive
BA3195	44.96551724137931	8965945660.0	5.015144965910858	negative
BA3199	80.96551724137932	12334715122.0	6.564036253822394	negative
BA3206	72.48275862068965	9269706180.0	7.819315651781495	negative
BA3217	11.20689655172414	9361310840.0	1.1971503503374896	positive
BA3227	36.27586206896552	8628494140.0	4.204193858207282	positive
BA3240	59.86206896551724	10888276568.0	5.497846109222492	negative
BA3277	25.13793103448276	8901401880.0	2.8240418052535743	negative
BA3311	24.20689655172414	13063373120.0	1.8530356845326132	negative
BA3315	26.89655172413793	9651606662.0	2.7867434579606503	negative
BA3333	62.310344827586206	13449110920.0	4.633045648759227	negative
BA3385	20.48275862068965	8005593960.0	2.5585557702566333	positive
BA3397	71.79310344827586	11737474482.0	6.116571632029885	negative
BA3405	10.241379310344827	9354164260.0	1.0948470676465145	negative
BA3406	17.379310344827587	8833060600.0	1.9675298440528741	positive
BA3410	18.620689655172413	9109860060.0	2.044014895128083	negative
BA3422	17.689655172413794	12464789536.0	1.4191699844849908	negative
BA3427	97.48275862068964	10727664912.0	9.087043585006567	negative
BA2944	17.96551724137931	11522717920.0	1.5591388564842443	negative
BA3038	230.3448275862069	11249310940.0	20.476349957325198	negative
BA2053	57.10344827586207	7030049320.0	8.12276638136901	negative
BA3319	29.03448275862069	11178444480.0	2.59736341765332	negative
BA2184	23.344827586206897	14287959700.0	1.6338811192340428	negative
BA2300	110.58620689655172	9470333180.0	11.677118934959342	negative
BA2449	88.41379310344827	9170928340.0	9.640659028794492	negative
BA2482	217.0344827586207	7219226560.0	30.06339819852124	negative
BA2587	112.03448275862068	8954781220.0	12.51113567223708	negative
BA3158	11.517241379310343	7963118940.0	1.4463229126790291	negative
BA3232	31.0	7421623860.0	4.17698344523755	positive
BA3310	17.103448275862068	8566527900.0	1.99654381279282	negative
BA2733	23.20689655172414	5270370420.0	4.403276184091087	negative
