	Sample	Feature	ExpressionGene
174	BA2229	negative	6.86407290374975
175	BA2559	negative	0.907573624801598
176	BA2093	negative	6.05912302323741
177	BA2000	negative	4.36978016763227
178	BA2425	negative	0.946050220237291
179	BA2905	negative	2.29057658536721
180	BA2304	negative	-3.78517780161679
181	BA2976	negative	2.20713040749132
182	BA2386	positive	5.64166399423883
183	BA2035	negative	4.83096192899042
184	BA2760	negative	2.43961255695851
185	BA2201	positive	2.54413689826714
186	BA2355	negative	5.15956280499738
187	BA2113	negative	3.84650283387536
188	BA2955	negative	1.1015901745641
189	BA2322	negative	4.78539668733183
190	BA2020	positive	4.72354417544082
191	BA2226	positive	3.32603631681627
192	BA2376	positive	-0.543214915721396
193	BA2121	negative	1.79218942654284
194	BA2944	negative	3.68217215988785
195	BA2033	negative	2.10138671423736
196	BA2867	negative	4.75868055542246
197	BA2089	negative	-1.24729776016019
198	BA2224	negative	-0.358388935779956
199	BA2046	negative	5.42125052108752
200	BA2972	negative	2.25161428597338
201	BA2978	negative	-1.51459060193487
202	BA2851	negative	1.81871140983335
203	BA2587	negative	4.31365852693905
204	BA2024	positive	2.5287380218477
205	BA2426	negative	4.4916443156522
206	BA2271	positive	0.480333759445609
207	BA3004	positive	6.02896726775605
208	BA3010	negative	-1.15112312778785
209	BA2662	positive	2.80849620548243
210	BA2658	negative	-4.09430858942349
211	BA2512	positive	-0.245480641116488
212	BA2109	negative	-2.19345672998365
213	BA2242	positive	5.67202091636779
214	BA2132	negative	4.59116887928136
215	BA2846	positive	5.1273934607462
216	BA2521	positive	4.66009956525948
217	BA2885	positive	-2.88217442288734
218	BA2639	negative	5.10037153191854
219	BA2775	positive	4.47902169597731
220	BA2402	negative	3.78046913292847
221	BA2097	negative	-2.80619697770706
222	BA2399	negative	5.14082982502073
223	BA2174	negative	1.60136191099771
224	BA3001	positive	5.67239321044761
225	BA2911	positive	3.95847739460523
226	BA2311	negative	0.585076282677859
227	BA3040	negative	3.145024554735
228	BA2724	positive	3.05833632772676
229	BA2821	negative	4.8980399466675
230	BA2233	positive	5.03856627298611
231	BA2744	positive	5.21184609169853
232	BA2501	negative	5.21291531865443
233	BA2301	positive	1.62175301006191
234	BA2880	negative	-3.78517780161679
235	BA2621	negative	-3.36366404396703
236	BA2866	negative	3.04760276272772
237	BA2212	negative	-2.04413465499093
238	BA2477	positive	5.04032746317028
239	BA2685	negative	4.89626395355883
240	BA2273	negative	5.38659608185088
241	BA2124	positive	4.7551991824947
242	BA2400	positive	5.14860760321253
243	BA2762	positive	5.99191122538936
244	BA2312	negative	4.46591200459637
245	BA2813	positive	4.66362563596561
246	BA2211	positive	5.88486366591165
247	BA2171	positive	5.13837383282281
248	BA2746	positive	1.81007217009569
249	BA2798	negative	5.19978192962276
250	BA2588	positive	4.33865898893468
251	BA2296	negative	2.07551474804364
